,Phase U,Phase V
1,-0.16757813096046448,0.559765636920929
2,-0.1845703125,0.4908203184604645
3,-0.2689453065395355,0.4673828184604645
4,-0.38066408038139343,0.5279297232627869
5,-0.34589844942092896,0.4751953184604645
6,-0.3853515684604645,0.45332032442092896
7,-0.4771484434604645,0.5035156607627869
8,-0.4322265684604645,0.4828124940395355
9,-0.46074220538139343,0.4583984315395355
10,-0.521484375,0.4521484375
11,-0.48945313692092896,0.40703126788139343
12,-0.537890613079071,0.3232421875
13,-0.580859363079071,0.22421875596046448
14,-0.555468738079071,0.16386719048023224
15,-0.5826172232627869,0.09453125298023224
16,-0.5882812738418579,0.01894531212747097
17,-0.5638672113418579,0.02988281287252903
18,-0.566601574420929,-0.0052734375931322575
19,-0.530468761920929,-0.08261718600988388
20,-0.4849609434604645,-0.09882812947034836
21,-0.4117187559604645,-0.21269531548023224
22,-0.2806640565395355,-0.3656249940395355
23,-0.22636719048023224,-0.3857421875
24,-0.16757813096046448,-0.4566406309604645
25,-0.0458984375,-0.5523437857627869
26,-0.06855469197034836,-0.49921876192092896
27,-0.0625,-0.5210937857627869
28,0.04746093973517418,-0.5824218988418579
29,0.008203125558793545,-0.5201172232627869
30,0.03066406212747097,-0.533398449420929
31,0.19492188096046448,-0.5679687857627869
32,0.19062499701976776,-0.519335925579071
33,0.244140625,-0.5218750238418579
34,0.4117187559604645,-0.530468761920929
35,0.37285158038139343,-0.49140626192092896
36,0.3910156190395355,-0.5082031488418579
37,0.532031238079071,-0.5152344107627869
38,0.47265625,-0.5091797113418579
39,0.47675782442092896,-0.522265613079071
40,0.591992199420929,-0.4810546934604645
41,0.537109375,-0.4253906309604645
42,0.535351574420929,-0.3402343690395355
43,0.622265636920929,-0.20273438096046448
44,0.5810546875,-0.16582031548023224
45,0.571484386920929,-0.12343750149011612
46,0.621289074420929,-0.0107421875
47,0.6011719107627869,-0.04472656175494194
48,0.5791015625,-0.02988281287252903
49,0.5755859613418579,0.10332031548023224
50,0.5123047232627869,0.11367187649011612
51,0.3919921815395355,0.20781250298023224
52,0.291015625,0.4085937440395355
53,0.22265625,0.41015625
54,0.14003907144069672,0.44609376788139343
55,0.05781250074505806,0.5908203125
56,0.06328125298023224,0.527148425579071
57,0.03164062649011612,0.512499988079071
58,-0.02714843861758709,0.6263672113418579
59,-0.0015625000232830644,0.5443359613418579
60,-0.05546874925494194,0.5289062857627869
61,-0.17617188394069672,0.620898425579071
62,-0.20429687201976776,0.5650390982627869
63,-0.3031249940395355,0.548632800579071
64,-0.43925783038139343,0.607226550579071
65,-0.42304688692092896,0.556445300579071
66,-0.4761718809604645,0.546093761920929
67,-0.5589843988418579,0.573046863079071
68,-0.5123047232627869,0.5537109375
69,-0.5474609732627869,0.526562511920929
